R0347444431404653023530	Current Bid
R11315145534641532729293145455346343153474531445342273331458477	Keys to access the user pages.:
R11315145534641532944312746315327534031495349312853453546318477	Keys to create a new web site.:
R11315145532753474531445339474546533427483153464153283153272838315346415347453153162751162738533540534634313544534931285342273331458477	Keys a user must have to be able to use PayPal in their web pages.:
R11315145534641532745454129352746315342414446273845532941404631404653464153463431534745314453422733318477	Keys to associate portals content to the user page.:
R11315145534641533927402733315346343153474531445342273331458477	Keys to manage the user pages.:
R113151455346415327292931454553463431534745314453424441323538314577	Keys to access the user profiles:
R113151455346415339274027333153463431534745314453424441323538314577	Keys to manage the user profiles:
R113151455346415327292931454553463431534745314453443148353149458477	Keys to access the user reviews.:
R113151455346415349443546315327534431483531498477	Keys to write a review.:
R113151455346415339274027333153463431534745314453443148353149458477	Keys to manage the user reviews.:
R1131514553464153453131534934415335455341403835403177	Keys to see who is online:
R11315145534641532729293145455346343153214531445306313130455339413047383177	Keys to access the User Feeds module:
R1131514553464153272929314545534634315322414729343144455339413047383177	Keys to access the Vouchers module:
R1131514553464153273030863130354653224147293431444577	Keys to add/edit Vouchers:
R1131514553464153392740273331534634315322414729343144455339413047383177	Keys to manage the Vouchers module:
R01292941474046	Account
R1627333120315046	PageText
R154430314445	Orders
R01301946274645	AdStats
R06443531403045	Friends
R062748414435463145	Favorites
R013232353835274631	Affiliate
R054027283831	Enable
R04354527283831	Disable
R0435452728383130	Disabled
R0147303541	Audio
R0441294739314046	Document
R093927333145	Images
R1941324649274431	Software
R2235303141	Video
R01473035415315403851	Audio Only
R23343140534547283935465327534547424241444653463529373146	When submit a support ticket
R233431405340314953474531444553453533404742	When new users signup
R23343140534745314445534238272931532740534144303144	When users place an order
R19313831294653275314314945383146463144	Select a Newsletter
R01383841495347453144455346415345313831294653275347453144534227333153414053463431534535334047425332414439	Allow users to select a user page on the signup form
R183143473544315347453144455346415345313831294653275347453144534227333153414053463431534535334047425332414439	Require users to select a user page on the signup form
R030104	CAD
R052118	EUR
R070216	GBP
R1813	RM
R211904	USD
R0540333835453453652140354631305319462746314566	English (United States)
R0447462934536520343153143146343144382740304566	Dutch (The Netherlands)
R064431402934536503274027302766	French (Canada)
R064431402934536506442740293166	French (France)
R16414446473347314531536502442752353866	Portuguese (Brazil)
R19422740354534536513315035294166	Spanish (Mexico)
R194227403545345365194227354066	Spanish (Spain)
R19314647425346343153012929414740465309403241	Setup the Account Info
R01303935403545464427464144530940324144392746354140	Administrator Information
R193146474253463431530130483144463545313931404645	Setup the Advertisements
R193146474253463431530147294635414045	Setup the Auctions
R1931464742534634315302384133333144	Setup the Blogger
R19314647425346343153034139393140464553635318274635403345	Setup the Comments &amp; Ratings
R1931464742534634315303414046272946532145	Setup the Contact Us
R19314647425346343153034140463140465318414627464144	Setup the Content Rotator
R19314647425346343153043545294147404653195145463139	Setup the Discount System
R1931464742534634315306443143473140295153014537313053174731454635414045	Setup the Frequency Asked Questions
R1931464742534634315308414441452941423145	Setup the Horoscopes
R1931464742530627293128414137	Setup Facebook
R19314647425307414133383153443103011620030801	Setup Google reCAPTCHA
R19314647425307414133383153014027385146352945	Setup Google Analytics
R193146474253204935383541	Setup Twilio
R19314647425303384147300638274431	Setup CloudFlare
R1931464742531235403731300940	Setup LinkedIn
R193146474253193927444631442044272937	Setup SmarterTrack
R1931464742531947332744031813	Setup SugarCRM
R1931464742531947354631031813	Setup SuiteCRM
R1931464742532308031319	Setup WHCMS
R19314647425346343153094046314440274635414027385314314945	Setup the International News
R193146474253463431531235403745	Setup the Links
R1931464742534634315319312744293453054033354031	Setup the Search Engine
R19314647425346343153193533404742531931464742	Setup the Signup Setup
R1931464742534634315319423127373144544553024744312747	Setup the Speaker&#39;s Bureau
R19314647425346343153194641293745	Setup the Stocks
R1931464742534634315323312746343144530641443129274546	Setup the Weather Forecast
R21453144530631313045	User Feeds
R1931464742531603183129444735463144	Setup PCRecruiter
R193146474253463431532331284535463153122751414746	Setup the Website Layout
R1931464742534634315323312845354631	Setup the Website
R162733315346415333415346415349343140534541393141403153384133455335404641535141474453493128534535463177	Page to go to when someone logs into your web site:
R193441495346343153393139283144453435424553462728532851533031322747384677	Show the memberships tab by default:
R19344149534634315341443031445345462746474553462728532851533031322747384677	Show the order status tab by default:
R193441495346343153273053454627464553462728532851533031322747384677	Show the ad stats tab by default:
R1934414953463431533244353140304553462728532851533031322747384677	Show the friends tab by default:
R19344149534634315332274841443546314553462728532851533031322747384677	Show the favorites tab by default:
R1934414953463431532732323538352746315346272845532851533031322747384677	Show the affiliate tabs by default:
R19344149534634315339314545314033314453462728532851533031322747384677	Show the messenger tab by default:
R1934414953463431534244413235383153462728532851533031322747384677	Show the profile tab by default:
R193441495346343153283841334553462728532851533031322747384677	Show the blogs tab by default:
R19344149534634315332414447394553462728532851533031322747384677	Show the forums tab by default:
R19344149534634315339273540534227333153462728532851533031322747384677	Show the main page tab by default:
R0431322747384653422733315327534745314453493538385333415346415349343140533140463144354033534634313544532729294147404677	Default page a user will go to when entering their account:
R054027283831534634315332443531403045533835454677	Enable the friends list:
R1934414953424135404645534634274653275347453144533427455335405346343153272929414740465335403241534227333177	Show points that a user has in the account info page:
R01453753474531444553463431354453333140303144534934314053463431515345353340474277	Ask users their gender when they signup:
R183143473544315333314030314453493431405347453144455345353340474277	Require gender when users signup:
R0145375347453144455346343135445342344140315340473928314477	Ask users their phone number:
R183143473544315342344140315340473928314453493431405347453144455345353340474277	Require phone number when users signup:
R01453753474531444553463431354453454644313146532730304431454577	Ask users their street address:
R014537534745314445534634313544532935465177	Ask users their city:
R014537534745314445534634315345462746315346343151533835483153354077	Ask users the state they live in:
R01453753474531444553463431354453523542532941303177	Ask users their zip code:
R014537534745314445534634313544532941474046445177	Ask users their country:
R18314347354431532730304431454553493431405347453144455345353340474277	Require address when users signup:
R014537534745314445534634313544533027463153413253283544463477	Ask users their date of birth:
R18314347354431533027463153413253283544463453493431405347453144455345353340474277	Require date of birth when users signup:
R01453753474531444553463431354453162751162738532729294147404677	Ask users their PayPal account:
R1831434735443153422751422738532729294147404653493431405347453144455345353340474277	Require paypal account when users signup:
R0835303153424145465338354037455335325347453144533427455340415327292931454577	Hide post links if user has no access:
R0145375347453144455346415327424244414831533244353140304577	Ask users to approve friends:
R06473838534027393153413253463431532730393540354546442746414477	Full name of the administrator:
R01303935403545464427464144533139273538532730304431454577	Administrator email address:
R254147445329413942274051534027393177	Your company name:
R2541474453294139422740515345384133274077	Your company slogan:
R2541474453294139422740515342344140315340473928314477	Your company phone number:
R25414744532941394227405153454644313146532730304431454577	Your company street address:
R0335465153514147445329413942274051533545533841292746313053354077	City your company is located in:
R194627463153514147445329413942274051533545533841292746313053354077	State your company is located in:
R25414744532941394227405153424145462738532941303177	Your company postal code:
R254147445329413942274051532941474046445177	Your company country:
R204935464631445321453144531427393177	Twitter User Name:
R0540272838315346343153294140323144314029315329314046314477	Enable the conference center:
R19313831294653274053272929314545532938274545533241445346343153394130314427464144544577	Select an access class for the moderator&#39;s:
R1913195339314545273331534431393540303144534631504653651327505315053033427442729463144456677	SMS message reminder text (Max 150 Characters):
R084147444553283132414431532927383853354553452934313047383130534641534531403053274053191319533931454527333153464153463431534745314477	Hours before call is scheduled to send an SMS message to the user:
R054027283831534634315328274040314453273048314446354531393140464577	Enable the banner advertisements:
R0540272838315346343153454627463545463529455345415327304831444635453144455329274053384141374742534634313544534546274635454635294577	Enable the statistics so advertisers can lookup their statistics:
R20274433314653493540304149534641534142314053463431534542414045414445534931284535463153354077	Target window to open the sponsors website in:
R05402728383153463431532732323538352746315339413047383177	Enable the affiliate module:
R1231483138531531631442931404627333177	Level 1 Percentage:
R1231483138532531631442931404627333177	Level 2 Percentage:
R1231483138533531631442931404627333177	Level 3 Percentage:
R1231483138534531631442931404627333177	Level 4 Percentage:
R1231483138535531631442931404627333177	Level 5 Percentage:
R01383841495347453144455346415331404631445327323235383527463153354053453533404742533241443977	Allow users to enter affiliate in signup form:
R1831434735443153273232353835274631534641532831533140463144313053414053453533404742533241443977	Require affiliate to be entered on signup form:
R2031504653464153453441495341405346343153273232353835274631533539273331534227333184536508201312533545534547424241444631306677	Text to show on the affiliate image page. (HTML is supported):
R162733315346415344314647444053474531444553464153493431405346343151532938352937534634315327323235383527463153353927333177	Page to return users to when they click the affiliate image:
R05402728383153463431532738473940355344313827463541404577	Enable the alumni relations:
R193441495346343153194627463186164441483540293153304441423041494077	Show the State/Province dropdown:
R19344149534634315303414740465153304441423041494077	Show the County dropdown:
R054027283831534634315327444635293831455339413047383177	Enable the articles module:
R043545423827515346343153105340314931454653274446352938314577	Display the 10 newest articles:
R193441495330274631455349343140533035454238275135403353274446352938314577	Show dates when displaying articles:
R1941444653274446352938314553285153463546383177	Sort articles by title:
R193441495342444132353831534235294647443153493431405330354542382751354033532740532744463529383177	Show profile picture when displaying an article:
R0138384149534745314445534641533140463144534634315327444635293831534541474440293153354032414439274635414053493431405345472839354646354033532740532744463529383177	Allow users to enter the article sournce information when submitting an article:
R01383841495347453144455346415332353838534147465339314627534627334553493431405345472839354646354033532740532744463529383177	Allow users to fill out meta tags when submitting an article:
R05402728383153463431532747294635414077	Enable the auction:
R043545423827515346343153105340314931454653273053424145463540334577	Display the 10 newest ad postings:
R05404631445346343153302751455346353838532740532730533150423544314577	Enter the days till an ad expires:
R19472836312946534132534634315331392735385349343140534541393141403153424145464553275340314953273077	Subject of the email when someone posts a new ad:
R024130515341325346343153313927353853393145452733315349343140534541393141403153424145464553275340314953273077	Body of the email message when someone posts a new ad:
R13275035394739534347274046354651532753474531445329274053453138385327465327534635393177	Maximum quantity a user can sell at a time:
R05402728383153463431532838413333314477	Enable the blogger:
R054027283831534634315328474535403145455330354431294641445177	Enable the business directory:
R0435454238275153463431531053403149314546532847453540314545534140534634315339273540534227333177	Display the 10 newest business on the main page:
R193441495328474535403145455329414046272946534027393153493431405330354542382751354033532753284745354031454577	Show business contact name when displaying a business:
R19344149533139273538532730304431454553493431405330354542382751354033532753284745354031454577	Show email address when displaying a business:
R013838414953474531444553464153293827353953383545463540334584536513313928314445533947454653483144353251534634315329414046272946533139273538532745453533403130534641534634315328474535403145456677	Allow users to claim listings. (Members must verify the contact email assigned to the business):
R073146532730304431454553354032414439274635414053324441395346343153474531445335404546312730534132532738384149354033532753474531445346415331404631445327532847453540314545532730304431454577	Get address information from the user instead of allowing a user to enter a business address:
R05402728383153463431532934274653444141394577	Enable the chat rooms:
R0540272838315346343153354045462740465339314545314033314477	Enable the instant messenger:
R0540272838315346343153293827454535323531305327304577	Enable the classified ads:
R043545272838315346343153284751534041495328474646414077	Disable the buy now button:
R083530315347453144534027393153493546345335463139534241454635403377	Hide user name with item posting:
R05402728383153463431534745314453294139393140464577	Enable the user comments:
R054027283831534634315347453144534427463540335345514546313977	Enable the user rating system:
R193441495346343153442746354033533344274234534934314053483531493540335327533835454635403377	Show the rating graph when viewing a listing:
R0540272838315346343153062729312841413753123537315328474646414077	Enable the Facebook Like button:
R054027283831534634315329414046272946534227333177	Enable the contact page:
R05392735385327303044314545534641534531403053463431532941404627294653324144398453651231274831532838274037534641534745315346343153273039354053313927353853273030443145456677	Email address to send the contact form. (Leave blank to use the admin email address):
R1947283631294653413253463431533931454527333153463427465335455345314046534641534634315347453144534934314053463431515345472839354653514147445329414046272946533241443977	Subject of the message that is sent to the user when they submit your contact form:
R024130515341325346343153393145452733315346342746533545534531404653464153463431534745314453493431405346343151534547283935465351414744533241443977	Body of the message that is sent to the user when they submit your form:
R0145375347453144455332414453463431354453454644313146532730304431454577	Ask users for their street address:
R014537534745314445533241445346343135445329354651835345462746318353274030535235422941303177	Ask users for their city, state, and zipcode:
R014537534745314445533241445346343135445342344140315340473928314477	Ask users for their phone number:
R01453753474531444553324144534634313544533227505340473928314477	Ask users for their fax number:
R0635383153465142315347453144455329274053474238412730534140534634315329414046272946533241443977	File type users can upload on the contact form:
R203431533927503539473953404739283144534132533235383145532753474531445329274053474238412730534641534634315329414046272946533241443977	The maximum number of files a user can upload to the contact form:
R054027283831534634315329414046314046534441462746414477	Enable the content rotator:
R054027283831534634315330354529414740465345514546313977	Enable the discount system:
R043545423827515346343153464142531053403149314546532941474241404577	Display the top 10 newest coupons:
R054027283831533035452941474046532941303153354053463431534534414242354033532927444677	Enable discount code in the shopping cart:
R19344149532753303132274738465328274453294130315335392733315335325341403153354540544653474238412730313077	Show a default bar code image if one isn&#39;t uploaded:
R1934414953463431530341474046445153304441423041494077	Show the Country dropdown:
R05402728383153463431530568123127444035403377	Enable the E-Learning:
R0540272838315346343153314831404653292738314030274477	Enable the event calendar:
R013838414953474531444553464153443129313548315319131953443139354030314445533241445331483140464577	Allow users to receive SMS reminders for events:
R05402728383153463431533244314347314029515327453731305343473145463541404577	Enable the frequency asked questions:
R1934414953105340314931454653060117544577	Show 10 newest FAQ&#39;s:
R054027283831534634315304414940384127304577	Enable the Downloads:
R0435454238275153463431531053403149314546533235383153474238412730455341405351414744533927354053323538315338352844274451534227333177	Display the 10 newest file uploads on your main file library page:
R0435454238275153463431533941454653424142473827445332353831533041494038412730455341405351414744533927354053323538315338352844274451534227333177	Display the most popular file downloads on your main file library page:
R13275035394739534742384127305345355231533540534634315304414940384127304584536513026677	Maximum upload size in the Downloads. (MB):
R06414429315347453144455346415330414940384127305327473035418648353031415332353831458277	Force users to download audio/video files?:
R054027283831534634315332414439455339413047383177	Enable the forms module:
R06414439533241445347453144455346415332353838534147465349343140534535334035403353474277	Form for users to fill out when signing up:
R054027283831534634315332414447394577	Enable the forums:
R0427514553463538385341383053393145452733314553333146533031383146313077	Days till old messages get deleted:
R043545423827515346343153105340314931454653324144473953424145463540334553414053463431533927354053324144473945534227333177	Display the 10 newest forum postings on the main forums page:
R0540272838315351414744534745314445534641533130354653463431354453424145464577	Enable your users to edit their posts:
R013838414953474531444553464153474238412730532740532746462729343931404653354053463431354453464142352977	Allow users to upload an attachment in their topic:
R054027283831534634315333473145462841413777	Enable the guestbook:
R05402728383153463431533441444145294142314577	Enable the horoscopes:
R05402728383153463431533441465341445340414677	Enable the hot or not:
R0138384149534235294647443145533244413953463431534745314453424441323538314577	Allow pictures from the user profiles:
R254147445306272931284141375301424253090453651231274831532838274037534641533035452728383166778028448681073146534634315301160953113151532851534535334035403353474253802753344431327079344646424577868630314831384142314445843227293128414137842941398627424245795346274433314670796728382740377981343144318086278184	Your Facebook App ID (Leave blank to disable):&lt;br/&gt;Get the API Key by signing up &lt;a href=&quot;https://developers.facebook.com/apps&quot; target=&quot;_blank&quot;&gt;here&lt;/a&gt;.
R0741413338315344310301162003080153164728383529531131515365123127483153283827403753464153303545272838316677802844868107314653463431530116095311315153285153453533403540335347425380275334443132707934464642778686494949843341413338318429413986443129274246293427795346274433314670796728382740377981343144318086278184	Google reCAPTCHA Public Key (Leave blank to disable):&lt;br/&gt;Get the API Key by signing up &lt;a href=&quot;http://www.google.com/recaptcha&quot; target=&quot;_blank&quot;&gt;here&lt;/a&gt;.
R074141333831534431030116200308015316443548274631531131515365123127483153283827403753464153303545272838316677802844868107314653463431530116095311315153285153453533403540335347425380275334443132707934464642778686494949843341413338318429413986443129274246293427795346274433314670796728382740377981343144318086278184	Google reCAPTCHA Private Key (Leave blank to disable):&lt;br/&gt;Get the API Key by signing up &lt;a href=&quot;http://www.google.com/recaptcha&quot; target=&quot;_blank&quot;&gt;here&lt;/a&gt;.
R0140273851463529455309045365123127483153283827403753464153303545272838316677802844868107314653463431530904532851533341354033538027533444313270793446464245778686274027385146352945843341413338318429413986274027385146352945864931288659344139318679534627443331467079672838274037798134314431808627818453203431530140273851463529455309045349353838532831534634315338314646314445532740305340473928314445534031504653464153514147445349312853453546315340273931532732463144535141475329443127463153514147445345354631845365315084532424685555555568566	Analytics ID (Leave blank to disable):&lt;br/&gt;Get the ID by going &lt;a href=&quot;https://analytics.google.com/analytics/web/#home/&quot; target=&quot;_blank&quot;&gt;here&lt;/a&gt;. The Analytics ID will be the letters and numbers next to your web site name after you create your site. (ex. XX-55555555-5)
R014027385146352945530338353140465309045365123127483153283827403753464153303545272838316677802844868107314653463431530338353140465309045328515333413540335380275334443132707934464642457786862941404541383184303148313841423144458433414133383184294139795346274433314670796728382740377981343144318086278153274030532938352937354033537905402728383153011609795327403053453138312946530741413338315301402738514635294553464153333140314427463153275303383531404653090484	Analytics Client ID (Leave blank to disable):&lt;br/&gt;Get the Client ID by going &lt;a href=&quot;https://console.developers.google.com&quot; target=&quot;_blank&quot;&gt;here&lt;/a&gt; and clicking &quot;Enable API&quot; and select Google Analytics to generate a Client ID.
R2049353835415301160953012929414740465345090477	Twilio API Account sID:
R20493538354153011609530147463453204137314077	Twilio API Auth Token:
R204935383541534234414031534047392831445346415345314030532927383845533244413977	Twilio phone number to send calls from:
R03384147300638274431530116095311315177	CloudFlare API Key:
R03384147300638274431530539273538530130304431454577	CloudFlare Email Address:
R0338414730063827443153044139273540531427393177	CloudFlare Domain Name:
R1235403731300940530116095311315177	LinkedIn API Key:
R12354037313009405319312944314677	LinkedIn Secret:
R193927444631442044272937532118125365315084533446464277868649494984304139273540842941398645474242414446866677	SmarterTrack URL (ex. http://www.domain.com/support/):
R1939274446314420442729375301303935405321453144531427393177	SmarterTrack Admin User Name:
R19392744463144204427293753013039354053162745454941443077	SmarterTrack Admin Password:
R0539283130534634315311404149383130333102274531534140535141474453453546318277	Embed the KnowledgeBase on your site?:
R0539283130534634315314314945533231313045534140535141474453453546318277	Embed the News feeds on your site?:
R0539283130534634315346352937314653455145463139534140535141474453453546318277	Embed the ticket system on your site?:
R233431405330415351414753492740465346415327303053474531444553464153463431531939274446314420442729375330274627282745318277	When do you want to add users to the SmarterTrack database?:
R1947332744031813532118125365315084533446464277868649494984304139273540842941398645474242414446866677	SugarCRM URL (ex. http://www.domain.com/support/):
R19473327440318135301303935405321453144531427393177	SugarCRM Admin User Name:
R194733274403181353013039354053162745454941443077	SugarCRM Admin Password:
R2334314053304153514147534927404653464153273030534745314445534641534634315319473327440318135330274627282745318277	When do you want to add users to the SugarCRM database?:
R1947354631031813532118125365315084533446464277868649494984304139273540842941398645474242414446866677	SuiteCRM URL (ex. http://www.domain.com/support/):
R19473546310318135301303935405321453144531427393177	SuiteCRM Admin User Name:
R194735463103181353013039354053162745454941443077	SuiteCRM Admin Password:
R2334314053304153514147534927404653464153273030534745314445534641534634315319473546310318135330274627282745318277	When do you want to add users to the SuiteCRM database?:
R2308031319532118125365315084533446464277868649494984304139273540842941398645474242414446866677	WHCMS URL (ex. http://www.domain.com/support/):
R23080313195301303935405321453144531427393177	WHCMS Admin User Name:
R230803131953013039354053162745454941443077	WHCMS Admin Password:
R2334314053304153514147534927404653464153273030534745314445534641534634315323080313195330274627282745318277	When do you want to add users to the WHCMS database?:
R054027283831534634315335404631444027463541402738534031494577	Enable the international news:
R054027283831534634315336412853383545463540334577	Enable the job listings:
R04354542382751534634315310534031493145465336412853424145463540334577	Display the 10 newest job postings:
R0835303153474531445340273931534935463453364128534241454635403377	Hide user name with job posting:
R0427514553464153373131425336412853383545463540334577	Days to keep job listings:
R05402728383153463431533835403745534227333177	Enable the links page:
R04354542382751534634315310534031493145465338354037455341405351414744533835403745534227333177	Display the 10 newest links on your links page:
R054027283831534634315338354831534547424241444677	Enable the live support:
R0539273538534641534531403053294140462729465332414439534641533532534041534140315335455341403835403177	Email to send contact form to if no one is online:
R0540272838315346343153392746293453392737314477	Enable the match maker:
R14473928314453413253423529464744314553275347453144532927405347423841273077	Number of pictures a user can upload:
R054027283831534634315339314545314033314477	Enable the messenger:
R042751455346353838534138305339314545273331455333314645533031383146313077	Days till old messages gets deleted:
R01383841495347453144455346415344312931354831532740531913195339314545273331534934314053463431515344312931354831532753403149533931454527333177	Allow users to receive an SMS message when they receive a new message:
R05402728383153463431534031494577	Enable the news:
R0427514553463538385341383053403149455333314645533031383146313077	Days till old news gets deleted:
R0540272838315346343153403149453831464631444577	Enable the newsletters:
R18313941482738534631504653464153303545423827515341405346343153284146464139534132535141474453403149453831464631444577	Removal text to display on the bottom of your newsletters:
R05392735385346415345314030534031494538314646314445533244413984536515403153313927353853423144532753383540316677	Email to send newsletters from. (One email per a line):
R0540272838315334274835403353275340353334463851534031494538314646314477	Enable having a nightly newsletter:
R19313831294653275340314945383146463144534641534531403053464177	Select a newsletter to send to:
R194728363129465341325346343153313927353877	Subject of the email:
R024130515341325346343153313927353877	Body of the email:
R054027283831534634315341403835403153332739314577	Enable the online games:
R0540272838315346343153332739315335392733314577	Enable the game images:
R054027283831534634315342344146415327382847394577	Enable the photo albums:
R1447392831445341325342344146414553275347453144534641534742384127305342314453274053273828473977	Number of photos a user to upload per an album:
R05402728383153463431534234414641533327383831445177	Enable the photo gallery:
R054027283831534634315342344146415333273838314451534427463540334577	Enable the photo gallery ratings:
R0540272838315346343153424138384577	Enable the polls:
R05402728383153463431534241444627384577	Enable the portals:
R132745463144534535463153304139273540534027393184536505247753304139273540842941396677	Master site domain name. (EX: domain.com):
R1934274431534745314453424441323538314553273941403353273838534241444627384577	Share user profiles among all portals:
R0540272838315346343153193546315312414137455346415342414446273853273039354035454644274641444577	Enable the Site Looks to portal administrators:
R054027283831534634315342414546292744304577	Enable the postcards:
R083127303144533241445346343153424145462927443045534934314053463431515327443153453140468453650327405347453153082013126677	Header for the postcards when they are sent. (Can use HTML):
R064141463144533241445346343153424145462927443045534934314053463431515327443153453140468453650327405347453153082013126677	Footer for the postcards when they are sent. (Can use HTML):
R054027283831534634315344312738533145462746315339413047383177	Enable the real estate module:
R0435454238275153463431531053403149314546534244414231444635314577	Display the 10 newest properties:
R0435454238275153463431531053403149314546534244414231444635314553324144534431404677	Display the 10 newest properties for rent:
R0435454238275153463431531053403149314546534244414231444635314553324144534527383177	Display the 10 newest properties for sale:
R054027283831534634315344313231445327533244353140305339413047383177	Enable the refer a friend module:
R05402728383153463431534431323144442738534546274635454635294577	Enable the referral statistics:
R1934414953463431534431323144532753324435314030534140534634315346414253393140475332414453312729345339413047383177	Show the refer a friend on the top menu for each module:
R19472836312946534132534634315331392735385327534745314453493538385345313153493431405346343151533427483153283131405344313231444431305346415351414744534535463177	Subject of the email a user will see when they have been referred to your site:
R0241305153413253463431533139273538533931454527333153463427465327534745314453493538385345313153493431405346343151533427483153283131405344313231444431305346415351414744534535463177	Body of the email message that a user will see when they have been referred to your site:
R01383841495345312744293435403353463444414733345335403035483530472738533941304738314577	Allow searching through individual modules:
R05402728383153463431534427303547455345312744293435403377	Enable the radius searching:
R0540272838315346343153462750532927382947382746414477	Enable the tax calculator:
R2031504653354053463431534534414242354033532927444653493431405327405341443031445335455328313540335342444129314545313084536508201312531947424241444631306677	Text in the shopping cart when an order is being processed. (HTML Supported):
R053927353853203139423827463153464153453140305346343153273039354035454644274641445349343140532740534144303144533427455328313140534547292931454532473838515342444129314545313077	Email Template to send the administrator when an order has been successfully processed:
R05392735385320313942382746315346415345314030534634315329474546413931445349343140532740534144303144533427455328313140534547292931454532473838515342444129314545313077	Email Template to send the customer when an order has been successfully processed:
R05402728383153463431534534414242354033533927383877	Enable the shopping mall:
R054027283831534634315349354534533835454677	Enable the wish list:
R0540272838315329474444314046534527383145534227333177	Enable current sales page:
R19344149534634315345273831533539273331533532532740533546313953354553414053452738315341405346343153303146273538534227333177	Show the sale image if an item is on sale on the detail page:
R053831294644414035295331392735385334312730314477	Electronic email header:
R0435454238275153463431531053403149314546534244413047294645534140535141474453392735405345344142423540335339273838534227333177	Display the 10 newest products on your main shopping mall page:
R0338274545534641534546274446534132325340314953474531444553354077	Class to start off new users in:
R053927353853273030443145455346415345314030534031495345353340474245534641845365123127483153283827403753464153303545272838316677	Email address to send new signups to. (Leave blank to disable):
R1931403053474531444553274053313927353853464153483144353251534634313544532729294147404677	Send users an email to verify their account:
R0133443131393140465328313241443153453533404742845365123127483153283827403753464153303545272838316677	Agreement before signup. (Leave blank to disable):
R203431532730393540354546442746414453342745534641532742424441483153272929414740464577	The administrator has to approve accounts:
R0133315327534031495339313928314453394745465328315346415345353340474277	Age a new member must be to signup:
R0827483153474531444553384133354053493546345346343135445331392735385327303044314545533540454631273053413253463431354453474531444027393177	Have users login with their email address instead of their username:
R0539273538532730304431454553463427465346343153274746415344314542414030533139273538532941393145533244413977	Email address that the auto respond email comes from:
R01474641534431454241403053313927353853454728363129465349343140534541393141403153453533404553474277	Auto respond email subject when someone signs up:
R01474641534431454241403053313927353853284130515349343140534541393141403153453533404553474277	Auto respond email body when someone signs up:
R16273331534641534431464744405347453144534641532732463144532753474531445345353340455347425345472929314545324738385177	Page to return user to after a user signs up successfully:
R043132274738465319462746318616444148354029315345313831294635414077	Default State/Province selection:
R014746416807314031442746313053194732323550845365123127483153283827403753464153273838414953474531444553464153294431274631534634313544534149405347453144402739316677	Auto-Generated Suffix. (Leave blank to allow users to create their own username):
R193533404742534531294635414053463546383153652031504653453441494553493546343540534634315345353340474253324144395327284148315327383853463431533235313830456677	Signup section title (Text shows within the signup form above all the fields):
R193533404742534531294635414053303145294435424635414053652031504653453441494553493546343540534634315345353340474253324144395327284148315327383853463431533235313830456677	Signup section description (Text shows within the signup form above all the fields):
R15403851534534414953324431315339313928314445343542455341405346343153453533404742533241443977	Only show free memberships on the signup form:
R054027283831534634315345423127373144455328474431274777	Enable the speakers bureau:
R0540272838315346343153454241444645533927402733314477	Enable the sports manager:
R20343153402739315341325351414744532941403231443140293177	The name of your conference:
R1951392841384553464153303545423827518453651931422744274631534634315345513928413845532851532941393927456677	Symbols to display. (Separate the symbols by commas):
R05402728383153463431534745314453422733314577	Enable the user pages:
R2331284535463153193533404742531644412931454577	Website Signup Process:
R0827483153463431533941304738315346414253105338354546455345344149534140385153463431533546313945534634315347453144533427455342414546313053463427465329443127463130534634315347453144534227333177	Have the module top 10 lists show only the items the user has posted that created the user page:
R05402728383153463431534745314453424441323538314577	Enable the user profiles:
R0145375347453144455349343140534634315153453533404742534641533235383853414746534634313544534244413235383177	Ask users when they signup to fill out their profile:
R1831434735443153424441323538315327324631445345353340474277	Require profile after signup:
R01383841495308201312532941303153354053463431534745314453294139393140464577	Allow HTML code in the user comments:
R183143473544315339313928314445534641534742384127305327534235294647443153493431405329443127463540335327534244413235383177	Require members to upload a picture when creating a profile:
R164441323538315320514231531845365123127483153283827403753464153303545272838316677	Profile Type 1. (Leave blank to disable):
R164441323538315320514231532845365123127483153283827403753464153303545272838316677	Profile Type 2. (Leave blank to disable):
R164441323538315320514231533845365123127483153283827403753464153303545272838316677	Profile Type 3. (Leave blank to disable):
R19344149534745314454455332354445465340273931533540454631273053413253463431354453474531444027393177	Show user&#39;s first name instead of their username:
R193441495347453144544553382745465340273931533540454631273053413253463431354453474531444027393177	Show user&#39;s last name instead of their username:
R01383841495347453144455346415329474546413935523153463431354453424441323538315329413841444577	Allow users to customize their profile colors:
R1327503539473953404739283144534132532747303541533235383145532753474531445329274053474238412730534641534634313544534244413235383177	Maximum number of audio files a user can upload to their profile:
R054027283831534634315347453144534431483531494577	Enable the user reviews:
R14473928314453413253443148353149455346415345344149534231445327534227333177	Number of reviews to show per a page:
R05402728383153463431534931274634314453324144312927454677	Enable the weather forecast:
R0540272838315346343153214531445306313130458477	Enable the User Feeds.:
R054027283831534634315348414729343144458477	Enable the vouchers.:
R14473928314445534132533027514553464153273030534641534634315348273835305332444139533027463153493431405327534745314453424744293427453145532753484147293431448477	Numbers of days to add to the valid from date when a user purchases a voucher.:
R144739283144534132533027514553474046353853275348414729343144533150423544314577	Number of days until a voucher expires:
R2241472934314453424145465327334431313931404677	Voucher post agreement:
R22414729343144532847515327334431313931404677	Voucher buy agreement:
R04354542382751534634315346414253105340314931454653484147293431444577	Display the top 10 newest vouchers:
